Description	Outer_Iteration	Inner_Iteration	Algorithm	InstanceID	ActualClass	PredictedClass	1	2	3
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance8	1	1	0.827001065	0.127035685	0.04596325
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance12	1	1	0.867638707	0.075056977	0.057304316
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance13	1	1	0.96661183	0.023958981	0.009429188
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance14	1	1	0.739916166	0.186079484	0.07400435
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance17	1	1	0.685559946	0.151179354	0.1632607
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance27	1	1	0.921842499	0.044554555	0.033602946
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance28	1	1	0.890055378	0.078445294	0.031499328
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance31	2	2	0.071327669	0.889281391	0.03939094
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance35	2	2	0.020341272	0.960399062	0.019259666
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance4	1	1	0.43630648	0.259250165	0.304443355
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance41	2	2	0.024931735	0.960874455	0.014193809
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance43	2	2	0.036649858	0.926409268	0.036940874
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance47	3	3	0.060857252	0.036721721	0.902421027
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance51	3	3	0.047063236	0.023515351	0.929421413
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance58	3	3	0.159847125	0.038667195	0.80148568
My_Interesting_Analysis	1	4	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance59	3	3	0.062863028	0.022390541	0.914746431
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance11	1	1	0.57814981	0.245163675	0.176686515
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance13	1	1	0.919352753	0.043766498	0.036880749
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance16	1	1	0.721094038	0.178247637	0.100658325
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance17	1	1	0.721958689	0.130965201	0.14707611
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance25	1	1	0.716896089	0.104092949	0.179010962
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance26	1	1	0.750411947	0.150379077	0.099208977
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance31	2	2	0.093705811	0.849006978	0.05728721
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance35	2	2	0.062834969	0.903885438	0.033279593
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance36	2	2	0.206477795	0.770159827	0.023362378
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance4	1	1	0.46602082	0.354834441	0.179144739
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance41	2	2	0.073198356	0.900234811	0.026566833
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance53	3	3	0.271542429	0.038367097	0.690090474
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance54	3	3	0.148361414	0.056480506	0.79515808
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance57	3	3	0.073401628	0.043370468	0.883227905
My_Interesting_Analysis	1	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance58	3	3	0.191785543	0.046436125	0.761778332
